"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"0610030E20Rik",170.148,196.997,128.748,117.72,176.036,93.413,138.371,108.956,143.519,125.615,133.805,87.916,161.11,129.921,71.008
"1110002E22Rik",41.764,49.15,31.271,13.08,17.401,43.457,32.945,26.141,17.04,39.574,26.152,30.999,38.074,27.98,16.003
"1110032F04Rik",203.986,358.726,279.812,188.861,312.829,214.068,191.864,361.129,181.464,525.014,207.954,225.252,295.66,560.298,507.025
"1110038F14Rik",294.212,297.85,195.912,284.757,344.067,225.051,252.927,246.949,215.977,236.276,209.461,173.126,278.916,168.136,239.689
"1110059G10Rik",78.77,100.275,69.684,105.069,47.391,67.012,106.718,72.262,105.089,78.185,70.517,58.207,84.702,51.536,73.758
"1500009L16Rik",108.049,154.4,102.788,114.358,75.596,88.79,154.052,105.566,225.38,68.994,99.093,110.235,154.615,70.586,144.97
"1500011B03Rik",1991.589,2568.557,1922.433,2003.996,1796.299,1884.916,2302.903,2070.156,2972.158,2131.981,1733.263,2282.59,2333.522,1661.347,2193.451
"1600014C23Rik",0,0,0,0,0,1.153,0,1.029,0,0,0,0,1.002,2.198,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik",1,4.186,3.057,0,3.413,2.458,2.566,1.008,16.596,0,0,6.158,11.653,4.018,1.003
"1700001F09Rik",1.001,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",2.003,0,0,0,0,0,0,0,0,1.006,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",4.065,8.694,5.031,1.014,2.02,1.398,6.364,7.316,9.303,3.697,1.228,6.155,11.114,2.924,8.206
"1700003E16Rik",633.65,743.265,649.964,489.106,692.165,501.707,775.91,863.128,936.414,873.312,621.13,698.858,902.047,780.42,1181.834
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",425.683,585.587,545.446,444.97,479.425,301.91,408.329,500.764,532.345,325.683,638.724,298.876,821.277,295.62,665.73
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",2.042,0,0,0,0,0,1.994,1,2.101,4.62,1.002,3.01,0,1.004,0
"1700020L24Rik",57.326,40.65,17.936,15.733,29.266,10.939,37.262,46.075,44.306,24.494,31.266,16.045,58.825,27.075,28.534
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",2.019,1,0,0,2.078,2.955,3.203,3.886,13.739,0,7.537,3.54,2.508,0,2.051
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028J19Rik",5.578,10.134,12.288,5.169,15.436,7.183,4.277,2.012,0,6.929,4.685,7.164,9.649,9.482,7.274
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023
"1700030J22Rik",99.439,127.985,95.256,90.412,106.912,100.556,108.479,105.202,130.654,104.686,76.354,142.827,103.687,67.372,95.704
"1700031L13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",4.579,1,0,0,2.529,0,5.587,0,6.091,0,1.116,0,8.016,1.021,0
"1700066M21Rik",248.531,281.429,230.622,326.434,214.835,324.233,267.857,209.164,333.421,324.964,209.127,287.221,298.939,200.839,240.055
"1700071K01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123O20Rik",252.016,323.849,253.446,260.837,217.45,187.181,288.672,247.261,333.997,249.342,302.373,236.898,282.684,196.844,284.538
"1810009J06Rik",0,0,0,0,0,1.063,0,0,0,0,0,0,0,0,0
"1810010H24Rik",73.789,82.254,34.397,13.744,39.728,37.685,58.783,34.076,112.212,41.955,53.167,36.5,106.377,42.52,83.243
"1810024B03Rik",5.074,4.174,2.982,6.069,2.005,0,5.081,0,6,6.015,1,3.005,6.804,5.049,2.013
"1810030O07Rik",299.946,306.879,168.248,240.666,192.856,265.469,195.711,178.717,387.718,183.851,236.018,192.734,261.28,154.537,209.899
"1810055G02Rik",221.576,323.991,233.176,261.046,231.443,129.93,258.6,251.524,202.039,286.713,265.014,235.215,313.03,242.444,254.87
"1810062G17Rik",0,0,0,0,0,0,0,1.001,0,1,0,0,0,3.049,0
"1810065E05Rik",0,0,0,1.285,0,0,0,0,0,0,0,0,0,0,0
"2010003K11Rik",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2010109A12Rik",0,0,1,0,0,0,0,2.01,1,0,1,0,0,0,0
"2200002D01Rik",8.637,6.14,1.269,8.827,2.28,1.179,0,0,2.656,5.857,4.943,1.369,7.789,6.924,3
"2210017I01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210408I21Rik",50.007,139.726,54.169,104.328,69.819,119.024,80.355,59.54,146.659,72.4,86.02,98.419,103.578,70.68,92.305
"2210409E12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300002M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",138.149,171.379,81.324,62.807,97.497,45.689,96.993,82.951,126.722,83.758,140.462,70.944,198.271,83.909,105.995
"2310002L09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009B15Rik",149.866,185.856,100.964,84.14,134.458,120.861,134.415,146.421,210.663,116.453,141.162,75.765,255.928,100.83,136.402
"2310011J03Rik",1123.654,1124.965,879.54,989.875,899.601,557.723,977.12,913.698,1106.754,1155.981,961.229,941.904,1624.699,827.068,1162.492
"2310022B05Rik",3297.531,3592.851,2034.565,886.605,2072.993,2352.3,2756.496,3294.69,6786.764,1765.732,3336.742,2032.745,3962.241,2039.338,2762.758
"2310030G06Rik",10.845,17.035,11.356,17.817,13.931,14.052,15.133,5.153,20.563,7.314,13.083,34.85,18.844,4.217,15.411
"2310033P09Rik",320.158,379.012,317.513,376.855,287.772,230.616,394.063,384.185,468.482,353.058,265.906,287.752,417.338,240.201,379.806
"2310069G16Rik",208.433,242.606,85.781,61.876,115.052,105.433,126.315,114.835,417.947,124.454,168.122,123.412,202.923,98.991,83.247
"2310079G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510039O18Rik",1289.272,1328.33,1064.132,1174.946,1051.199,567.888,1113.426,1301.647,1740.154,1090.011,1493.8,879.545,2038.584,1080.057,1569.302
"2610008E11Rik",183.995,231.64,165.025,209.361,160.076,207.513,201.611,128.191,233.162,180.548,144.244,184.89,185.631,133.283,145.113
"2610021A01Rik",177.456,197.321,180.442,189.137,113.124,177.733,183.958,136.952,181.554,182.379,179.023,146.222,186.594,119.254,117.775
"2700062C07Rik",93.82,116.412,75.207,99.888,77.734,54.157,90.942,78.964,112.513,75.532,83.341,73.8,100.404,56.007,78.359
"2700097O09Rik",42.099,47.648,22.828,18.39,30.575,13.832,21.567,19.841,25.287,31.577,21.696,16.765,30.414,14.039,13.203
"2900092C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3110040M04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3425401B19Rik",6.06,2.285,1,0,3.168,1.001,6.026,1.774,4.041,3.025,9.646,5.026,4.888,6.6,1
"3830403N18Rik",1,0,4.065,0,4.112,4.024,1.001,0,0,0,1,0,0,1.001,0
"4833420G17Rik",116.355,113.037,88.794,72.227,107.145,71.932,77.146,59.866,58.484,45.941,84.246,105.182,102.446,41.617,33.967
"4921509C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921517D22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921533I20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921536K21Rik",5.098,5.847,0,13.939,0,10.601,3.138,3.056,19.514,6.043,1.036,3.895,2.045,3.271,2.064
"4930402F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930402K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930407I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4930433I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930438A08Rik",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4930449I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930451I11Rik",0,0,0,0,1.586,0,0,0,0,0,0,2,0,0,0
"4930455H04Rik",0,0,0,0,0,0,0,0,3.002,0,0,0,0,0,1
"4930469K13Rik",0,0,0,0,0,1.673,1,0,3.021,0,0,1.002,0,0,0
"4930474N05Rik",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"4930480E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930503E14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930503L19Rik",120.868,76.289,37.741,68.079,58.34,45.504,65.053,48.397,58.936,50.523,63.717,36.13,82.844,26.965,46.662
"4930512M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930519F16Rik",3.072,0,0,2.015,0,2,4.033,0,2.002,2,2,1,6.534,0,1
"4930523C07Rik",11.7,37.02,12.156,29.508,12.119,10.043,8.251,5.656,33.974,12.678,21.017,13.545,30.416,15.628,15.156
"4930524B15Rik",1.005,0,0,1.397,0,0,0,0,0,0,0,0,2.01,0,1
"4930527J03Rik",1.039,1,0,1,0,2.008,0,0,2.494,0,2.013,2.002,2.001,0,0
"4930529C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930544G11Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"4930550C14Rik",0,3.036,0,3.069,2.086,0,6.012,4.067,5.001,0,1.002,1,4.007,1.567,4.037
"4930552N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930555G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930558K02Rik",0,0,0,0,0,1,0,1.001,0,0,0,0,0,0,0
"4930563E22Rik",5.987,16.169,2.108,3.401,13.835,6.232,6.587,3.443,30.278,9.351,20.063,5.475,6.485,1.259,11.174
"4930568D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930571K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930578I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930583I09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930596D02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4931414P19Rik",74.6,81.512,52.493,56.921,59.81,61.244,38.297,55.378,87.188,62.452,52.049,54.65,64.97,37.892,53.775
"4933402J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933405L10Rik",1.607,2.009,5.685,1,4.007,1,2.772,3.324,5.444,2.323,1.006,0,3.011,1,2.105
"4933405O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933411K16Rik",1.885,1,4.039,1,0,0,0,1.001,1.002,0,1.62,0,2.002,0,1
"4933412E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933414I15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933417G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933421I07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933424G06Rik",0,3,4.025,3.497,0,3.907,1,1,3.002,0,0,0.715,1.002,0,0
"4933427D14Rik",208.795,228.247,225.752,286.776,214.993,142.747,197.941,172.635,99.183,292.015,120.363,188.619,165.253,166.989,117.308
"4933428M09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933430I17Rik",4.198,2.022,0,0,0,1.002,3.327,1.001,2.001,3.795,4.072,1.109,3.001,2,0
"4933436I01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5031410I06Rik",0,0,0,0,0,0,1,2.011,0,3.02,0,0,2,0,0
"5033404E19Rik",0,0,0,1,0,0,0,0,0,0,0,4.283,2.008,0,3.019
"5430401F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5430402E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5530400C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5730409E04Rik",2085.154,2635.242,1676.153,1704.176,2056.01,1736.943,2373.754,1973.527,1808.905,2071.948,1928.067,2119.068,2571.926,1549.71,1818.647
"5730416F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6030458C11Rik",399.969,601.315,449.221,659.298,414.743,531.037,577.572,413.791,508.65,596.594,377.362,558.639,537.793,346.152,423.918
"6030468B19Rik",0,0,0,1.955,0,1,0,0,1.079,0,3.005,0,0,2,1
"6030498E09Rik",1,2,0,0,0,0,0,0,1.68,0,0,2,0,0,0
"6330403K07Rik",4770.754,5486.337,3585.935,7200.109,3930.261,5040.701,5182.027,5014.748,20740.425,4500.662,4249.823,4562.403,5626.415,3431.358,5460.466
"6430571L13Rik",87.345,85.2,50.563,20.675,39.99,37.315,80.433,46.038,93.277,42.757,87.325,57.285,114.5,46.836,42.269
"7530416G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9030624G23Rik",10.006,7.846,9.661,3.527,3.363,1.078,4.016,4.221,6.228,5.397,6.32,5.984,6.108,5.126,4.57
"9130008F23Rik",1.003,1,0,0,1.006,0,1.007,0,2.343,0,1.006,2.002,0,1.003,4.394
"9130401M01Rik",510.65,518.372,418.678,613.658,402.131,458.569,619.9,488.039,487.741,476.746,394.019,448.157,564.736,346.054,548.4
"9230112D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9330102E08Rik",277.523,408.586,312.663,230.472,268.348,341.687,356.59,326.421,204.935,340.699,310.147,316.042,360.199,274.469,298.253
"9330182O14Rik",0,0,0,0,0,0,0,0,0,0,0,0,1.003,0,0
"9430069I07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9530002B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9530057J20Rik",0,0,0,0,0,1,0,0,0,0,5.142,0,0,1,0
"9830107B12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A130010J15Rik",73.394,122.993,51.35,66.404,52.845,69.928,52.826,41.134,83.646,59.265,75.78,51.876,83.834,53.023,54.818
"A1bg",0,0,0,0,0,1.002,0,0,0,0,0,0,0,0,0
"A1cf",0,0,0,0,0,0,0,0,3.441,0,1,0,0,3.001,0
"A4gnt",1,4.003,2,0,2.083,1,2.007,0,0,1.002,2,0,0,1.385,0
"A530016L24Rik",1,1.018,5.035,1.584,0,3.041,2.157,0,3.829,1.007,3,0,2.006,1,3.798
"A630023A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A630073D07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A630089N07Rik",16.141,20.472,22.194,12.822,11.113,17.268,10.497,7.552,6.988,15.131,14.837,16.422,9.556,10.055,5.746
"A630095N17Rik",0,0,0,1.012,0,0,0,0,0,0,0,0,0,0,0
"A930003A15Rik",6.967,8.719,0,2.813,2.011,3.109,1.096,6.438,6.993,2.037,5.57,1.256,7.085,5.047,1.009
"A930007A09Rik",18.13,37.705,29.234,33.269,21.061,23.509,24.209,18.103,47.295,15.727,23.693,11.273,22.959,17.328,22.893
"A930009A15Rik",0,4.017,0,1.001,2.015,0,1.002,1.009,0,0,0,0,0,0,1.002
"A930018P22Rik",2,0,0,0,0,1.001,0,4.01,0,0,1.001,0,0,0,0
"AA413626",0,0,0,0,0,0,1.003,0,0,0,0,0,0,0,0
"AA414768",118.18,89.303,99.652,259.076,107.877,105.143,108.27,115.836,188.325,113.557,75.487,91.026,170.505,69.948,83.01
"AA543401",0,0,1.001,0,0,0,0,0,0,0,0,0,0,0,0
"AA986860",38.228,51.545,37.702,22.443,31.05,40.709,23.319,25.103,58.106,21.516,50.106,18.924,54.183,13.5,24.477
"Aaas",100.586,166.623,117.633,188.083,125.399,72.158,150.829,122.837,192.374,138.846,107.737,152.098,149.529,112.876,144.557
"Aacs",1048.44,1208.172,1016.153,1503.83,889.824,875.687,1249.508,1290.956,1060.869,1227.812,891.162,1299.671,1206.973,1024.387,1380.83
"Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl2fm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl2fm2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl2fm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl4fm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl4fm2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAdacl4fm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl4fm4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadacl4fm5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aadat",1.005,1,2,0,2.199,1.006,1.327,1.003,1,1,2.015,2,1.139,4.006,1
"Aagab",801.328,944.977,700.142,793.483,747.85,867.647,877.099,736.313,692.788,870.078,711.221,713.994,977.796,532.115,791.529
"Aard",49.563,65.738,22.832,53.385,31.212,22.972,28.258,38.783,101.71,46.785,69.925,37.152,33.583,32.92,37.544
"Aars2",698.827,717.96,657.999,579.04,545.112,396.099,736.652,673.06,613.147,714.979,469.029,384.778,752.566,525.352,729.23
"AB010352",27.377,40.886,24.22,15.639,29.744,15.683,20.652,24.918,40.615,25.098,27.058,28.757,31.347,11.036,8.387
"Abca1",856.602,862.016,658.88,911.271,1500.701,763.491,495.733,667.366,2370.019,498.546,1580.882,352.94,1203.861,746.347,700.755
"Abca9",116.267,104.775,107.5,65.758,93.396,94.14,55.29,109.958,124.246,84.052,166.849,62.466,130.671,72.849,86.655
"Abcb10",679.566,859.298,539.556,1014.528,368.786,424.99,536.324,504.78,1148.497,456.321,638.432,394.706,925.138,484.953,413.61
"Abcb1a",797.568,1041.488,408.544,254.661,593.778,328.124,529.984,510.845,761.336,469.814,774.081,374.073,797.313,407.619,341.331
"Abcb7",579.092,600.983,418.684,505.033,323.93,610.928,437.992,444.304,736.29,491.159,540.537,495.37,631.372,369.595,363.862
"Abcc2",2.996,3,3.167,2.003,3.231,1.982,2.001,0,1.001,0,0,2.001,0,1.01,3
"Abcc6",2.237,21.681,21.449,13.395,20.675,9.676,14.777,6.62,23.786,11.025,22.576,3.164,19.172,9.272,5.547
"Abcd4",202.279,187.732,148.227,95.184,159.341,108.303,199.589,168.733,197.926,128.346,198.82,95.951,213.183,134.827,142.448
"Abce1",925.428,1101.749,890.572,1629.903,794.948,1177.063,982.453,898.756,1032.158,955.498,896.549,1143.614,1210.154,681.6,847.217
"Abcg1",2598.209,2792.096,2068.296,2218.765,2270.966,2014.275,2180.953,2245.141,3444.166,2132.766,2575.781,1745.359,3125.272,2266.934,2250.676
"Abhd16b",0,0,0,0,0,0,0,2.001,2,0,2.05,0,1,0,1
"Abhd17b",488.977,437.423,279.476,439.223,367.607,438.492,399.662,370.672,586.445,392.532,478.055,408.361,580.815,305.505,367.993
"Abra",1,0,0,0,2.004,0,0,2.041,0,4.085,0,1.009,0,3.627,0
"Abracl",87.036,162.358,121.791,125.989,90.055,75.037,63.974,73.619,58.731,115.862,107.354,80.746,117.99,68.845,75.411
"Abt1",235.889,291.844,204.393,280.588,198.824,186.466,256.361,268.425,305.572,233.146,189.931,228.675,256.57,143.903,241.332
"Abtb2",614.663,530.869,386.898,488.263,332.235,258.663,473.253,458.212,634.176,251.594,644.21,217.597,683.302,388.214,414.192
"Acaa1b",4.811,2.257,3.05,5.709,4.394,1.096,7.268,3.704,1.32,5.62,1.515,2.181,2.168,0,0
"Acadl",618.392,588.206,436.962,382.6,513.08,601.369,533.085,493.586,717.129,408.103,676.645,504.387,761.598,456.584,546.083
"Acan",159.794,204.741,116.765,188.374,49.159,49.012,67.177,88.237,127.874,92.873,64.336,25.565,189.166,53.407,45.283
"Acat1",1410.496,1441.662,1188.257,1420.728,1251.475,1341.121,1266.233,1337.755,1755.53,1312.712,1326.434,1217.345,1694.873,984.427,1329.176
"Acbd3",874.428,806.015,619.994,1157.503,597.437,826.871,742.843,599.359,1117.721,720.144,684.249,646.523,829.357,465.242,594.457
"Acbd7",1.006,0,0,1,3.043,1.002,0,4.043,1,2.059,0,2.005,0,0,0
"Ace3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Acer1",1,0,0,0,1.001,0,0,0,2,0,0,0,0,1,0
"Ackr1",325.127,437.479,278.534,689.523,357.203,397.135,554.032,487.72,500.145,542.029,405.482,481.938,487.364,245.899,508.611
"Ackr2",8.061,16.524,15.756,6.973,15.193,6.07,5.951,10.496,4.026,22.487,17.899,5.059,6.037,26.56,13.186
"Ackr3",119.776,156.805,141.261,191.293,99.46,90.817,107.285,113.294,159.604,105.194,164.756,113.646,218.181,67.674,132.015
"Ackr4",4.041,1.033,3.149,1.058,1.14,4.001,3.487,1.056,3.872,1.05,4.89,2.46,15.754,1.081,0
"Acmsd",0,0,0,0,1,0,1.001,0,0,0,0,0,0,0,0
"Acnat1",0,0,0,0,0,2.046,0,0,0,0,2.963,6.295,4.325,0,1.128
"Acod1",0,0,0,0,8.085,0,0,0,0,0,0,0,1.423,0,0
"Acot1",308.324,216.784,247.857,542.508,278.994,475.493,229.444,307.595,417.803,186.046,265.913,167.06,383.556,250.878,440.026
"Acot10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Acot12",1.008,4,1.876,0,0,0,4.004,1,1.004,4.018,1,1,4.06,0,0
"Acot13",608.718,797.802,632.618,552.841,690.716,685.562,847.68,656.865,647.594,735.909,595.786,786.5,766.074,559.244,916.226
"Acot2",269.479,279.867,221.55,254.597,238.091,312.584,215.502,268.935,264.802,220.37,175.389,178.71,324.611,192.654,308.534
"Acot4",23.712,49.014,39.722,52.876,46.623,26.92,61.994,24.883,32.095,29.048,22.338,33.95,42.115,31.035,32.642
"Acot6",95.375,141.672,97.278,82.2,66.725,107.423,117.748,88.043,169.437,73.38,138.515,100.526,169.577,100.812,113.277
"Acr",2.777,12.985,2.064,4.811,2.056,1.002,5.449,7.063,20.231,7.27,10.205,4.006,7.233,6.023,4.882
"Acrv1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acsbg2",3.018,0,0,0,0,0,2,0,1,0,0,0,0,0,2.636
"Acsf2",446.499,489.371,432.692,172.226,493.286,344.641,430.76,545.939,674.242,337.64,528.231,301.745,542.682,368.012,544.105
"Acsf3",400.778,467.404,296.375,222.952,308.324,210.018,373.656,345.808,567.748,285.192,357.2,284.102,408.213,254.065,418.149
"Acsl5",754.712,1264.429,859.712,1655.127,999.742,901.683,978.997,912.033,875.008,1286.765,778.299,1075.466,891.331,939.532,804.326
"Acsm5",4.531,1.545,0,0,0,0,0,3.552,5.742,1.699,1.007,3.086,4.017,0,0
"Acta1",37.592,90.262,88.388,73.662,57.835,341.622,62.735,92.602,66.494,70.024,47.126,70.14,70.014,69.197,55.882
"Actbl2",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"Actc1",0,1,0,0,0,13.208,0,0,4.062,0,0,0,0,0,1.003
"Actg-ps1",1.006,3.696,1.002,0,0,5.896,2.83,1.19,2.935,3.013,0,0,2.035,1.139,1.001
"Actl10",3.031,7.147,1.616,0,10.165,1.005,2.015,4.067,3.025,5.534,7.314,2.25,5.071,14.74,0
"Actl11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actl7a",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Actl7b",0,0,0,0,0,0,0,0,0,1.001,0,0,0,0,0
"Actl9",1.001,2.713,0,0,1.006,0,1.001,0,0,0,1.013,0,2.016,0,0.858
"Actn3",15.179,16.139,25.586,13.148,11.297,39.77,17.106,21.41,20.441,19.49,8.271,32.495,23.721,13.707,28.35
"Actr10",1615.797,1945.415,1386.536,2095.5,1332.838,1873.137,1597.098,1553.433,2171.518,1583.345,1558.772,1770.759,1713.141,1200.508,1336
"Actr1a",5673.995,6405.023,4844.067,7267.559,5154.769,4977.401,6278.254,5754.409,6403.94,5880.814,4787.547,5198.42,6610.373,4882.266,5907.125
"Actr2",6827.188,7162.308,7035.552,12922.46,6161.517,10524.222,7281.49,6564.567,6477.871,7842.281,5708.365,7593.375,8214.074,5672.653,6970.361
"Actr3-ps",0,0,1.027,0,0,2.125,0,1.026,0,0,0,0,0,0,1.031
"Actr6",118.252,112.854,126.028,173.456,91.188,131.278,131.117,77.477,163.485,124.003,121.832,147.049,159.413,72.896,114.824
"Actr8",986.922,1158.8,719.079,900.082,709.571,710.903,857.101,704.041,1079.42,671.484,702.049,662.232,915.608,720.844,763.634
"Actrt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actrt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actrt3",9.559,17.388,8.836,1.003,14.154,6.041,13.536,6.115,14.344,17.61,12.819,15.134,12.188,9.874,17.499
"Acvr2a",472.578,649.307,439.305,1136.845,407.398,967.995,741.327,634.622,562.806,604.172,437.527,961.105,557.549,338.125,448.255
"Acyp2",210.7,193.985,124.44,110.817,155.2,132.11,191.105,117.377,213.009,145.037,198.04,167.207,247.08,107.973,136.468
"Ada",3.015,11.958,15.414,13.173,6.555,2.026,4.183,9.866,11.338,6.527,9.177,2.104,36.109,9.401,11.491
"Adad2",0,0,0,0,0,0,0,0,0,0,1.001,0,0,1.001,3.001
"Adam1a",76.759,50.065,54.142,36.227,34.851,24.653,67.862,30.533,49.47,40.626,45.854,28.23,38.759,23.801,14.052
"Adam1b",3.021,0,0,0,0,0,1.338,0,0,0,1.303,0,0,1.217,0
"Adam2",0,0,0,0,0,0,0,0,1,0,5.005,0,0,0,0
"Adam20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam21",14.73,5.802,4.647,7.591,1.182,0,2.881,2,6.3,7.141,3.187,4.212,5.658,0,0
"Adam24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
